HumanOS backend listening on http://127.0.0.1:8787
External access uses http://<server-ip>:8787
SQLite database: D:\TUe\OneDrive - TU Eindhoven\Humanos\humanos-syy7\backend\data\humanos.db
[06/Aug/2026 18:14:18] "GET /api/health HTTP/1.1" 200 -
[06/Aug/2026 18:14:18] "OPTIONS /api/profile?user_id=user_29dca9e3a605 HTTP/1.1" 204 -
[06/Aug/2026 18:14:18] "GET /api/profile?user_id=user_29dca9e3a605 HTTP/1.1" 200 -
[06/Aug/2026 18:14:18] "OPTIONS /api/tasks?user_id=user_29dca9e3a605 HTTP/1.1" 204 -
[06/Aug/2026 18:14:18] "GET /api/tasks?user_id=user_29dca9e3a605 HTTP/1.1" 200 -
[06/Aug/2026 18:14:18] "OPTIONS /api/plans/active?user_id=user_29dca9e3a605&week_id=2026-08-03 HTTP/1.1" 204 -
[06/Aug/2026 18:14:18] "GET /api/plans/active?user_id=user_29dca9e3a605&week_id=2026-08-03 HTTP/1.1" 200 -
[06/Aug/2026 18:14:18] "OPTIONS /api/weeks/status?user_id=user_29dca9e3a605&week_id=2026-08-03 HTTP/1.1" 204 -
[06/Aug/2026 18:14:18] "GET /api/weeks/status?user_id=user_29dca9e3a605&week_id=2026-08-03 HTTP/1.1" 200 -
[06/Aug/2026 18:14:18] "OPTIONS /api/chat/turns?user_id=user_29dca9e3a605&limit=20 HTTP/1.1" 204 -
[06/Aug/2026 18:14:18] "GET /api/chat/turns?user_id=user_29dca9e3a605&limit=20 HTTP/1.1" 200 -
[06/Aug/2026 18:14:22] "OPTIONS /api/state-checkins HTTP/1.1" 204 -
[06/Aug/2026 18:14:22] "POST /api/state-checkins HTTP/1.1" 201 -
[06/Aug/2026 18:14:22] "OPTIONS /api/weekly-setup/reconcile HTTP/1.1" 204 -
[06/Aug/2026 18:14:22] "POST /api/weekly-setup/reconcile HTTP/1.1" 200 -
[06/Aug/2026 18:14:22] "OPTIONS /api/state-checkins HTTP/1.1" 204 -
[06/Aug/2026 18:14:22] "POST /api/state-checkins HTTP/1.1" 201 -
[06/Aug/2026 18:14:22] "OPTIONS /api/schedules/decide HTTP/1.1" 204 -
DeepSeek unavailable: TimeoutError: The read operation timed out
[06/Aug/2026 18:15:10] "POST /api/schedules/decide HTTP/1.1" 200 -
[06/Aug/2026 18:15:10] "OPTIONS /api/state-checkins HTTP/1.1" 204 -
[06/Aug/2026 18:15:10] "POST /api/state-checkins HTTP/1.1" 201 -
[06/Aug/2026 18:15:11] "OPTIONS /api/schedules/validate HTTP/1.1" 204 -
[06/Aug/2026 18:15:11] "POST /api/schedules/validate HTTP/1.1" 200 -
[06/Aug/2026 18:15:11] "OPTIONS /api/schedules/confirm HTTP/1.1" 204 -
[06/Aug/2026 18:15:11] "POST /api/schedules/confirm HTTP/1.1" 200 -
[06/Aug/2026 18:15:11] "OPTIONS /api/state-transitions HTTP/1.1" 204 -
[06/Aug/2026 18:15:11] "POST /api/state-transitions HTTP/1.1" 201 -
[06/Aug/2026 18:15:11] "OPTIONS /api/chat/turn HTTP/1.1" 204 -
[06/Aug/2026 18:15:14] "POST /api/chat/turn HTTP/1.1" 201 -
[06/Aug/2026 18:15:14] "OPTIONS /api/tasks/task_e22f0d5c73b6 HTTP/1.1" 204 -
[06/Aug/2026 18:15:14] "PATCH /api/tasks/task_e22f0d5c73b6 HTTP/1.1" 200 -
[06/Aug/2026 18:15:14] "OPTIONS /api/state-checkins HTTP/1.1" 204 -
[06/Aug/2026 18:15:14] "POST /api/state-checkins HTTP/1.1" 201 -
[06/Aug/2026 18:15:14] "OPTIONS /api/schedules/decide HTTP/1.1" 204 -
[06/Aug/2026 18:16:15] "POST /api/schedules/decide HTTP/1.1" 200 -
[06/Aug/2026 18:19:46] "OPTIONS /api/health HTTP/1.1" 204 -
[06/Aug/2026 18:19:46] "GET /api/health HTTP/1.1" 200 -
[06/Aug/2026 18:19:46] "OPTIONS /api/auth/register HTTP/1.1" 204 -
[06/Aug/2026 18:19:46] "POST /api/auth/register HTTP/1.1" 201 -
[06/Aug/2026 18:19:46] "OPTIONS /api/health HTTP/1.1" 204 -
[06/Aug/2026 18:19:46] "GET /api/health HTTP/1.1" 200 -
[06/Aug/2026 18:19:46] "OPTIONS /api/profile?user_id=user_a28f818bb1c3 HTTP/1.1" 204 -
[06/Aug/2026 18:19:46] "GET /api/profile?user_id=user_a28f818bb1c3 HTTP/1.1" 200 -
[06/Aug/2026 18:19:46] "OPTIONS /api/tasks?user_id=user_a28f818bb1c3 HTTP/1.1" 204 -
[06/Aug/2026 18:19:46] "GET /api/tasks?user_id=user_a28f818bb1c3 HTTP/1.1" 200 -
[06/Aug/2026 18:19:46] "OPTIONS /api/plans/active?user_id=user_a28f818bb1c3&week_id=2026-08-03 HTTP/1.1" 204 -
[06/Aug/2026 18:19:46] "GET /api/plans/active?user_id=user_a28f818bb1c3&week_id=2026-08-03 HTTP/1.1" 200 -
[06/Aug/2026 18:19:46] "OPTIONS /api/weeks/status?user_id=user_a28f818bb1c3&week_id=2026-08-03 HTTP/1.1" 204 -
[06/Aug/2026 18:19:46] "GET /api/weeks/status?user_id=user_a28f818bb1c3&week_id=2026-08-03 HTTP/1.1" 200 -
[06/Aug/2026 18:19:46] "OPTIONS /api/chat/turns?user_id=user_a28f818bb1c3&limit=20 HTTP/1.1" 204 -
[06/Aug/2026 18:19:46] "GET /api/chat/turns?user_id=user_a28f818bb1c3&limit=20 HTTP/1.1" 200 -
[06/Aug/2026 18:19:49] "OPTIONS /api/state-checkins HTTP/1.1" 204 -
[06/Aug/2026 18:19:49] "POST /api/state-checkins HTTP/1.1" 201 -
[06/Aug/2026 18:19:49] "OPTIONS /api/weekly-setup/reconcile HTTP/1.1" 204 -
[06/Aug/2026 18:19:49] "POST /api/weekly-setup/reconcile HTTP/1.1" 200 -
[06/Aug/2026 18:19:49] "OPTIONS /api/state-checkins HTTP/1.1" 204 -
[06/Aug/2026 18:19:49] "POST /api/state-checkins HTTP/1.1" 201 -
[06/Aug/2026 18:19:49] "OPTIONS /api/schedules/decide HTTP/1.1" 204 -
[06/Aug/2026 18:20:46] "POST /api/schedules/decide HTTP/1.1" 200 -
[06/Aug/2026 18:20:46] "OPTIONS /api/state-checkins HTTP/1.1" 204 -
[06/Aug/2026 18:20:46] "POST /api/state-checkins HTTP/1.1" 201 -
[06/Aug/2026 18:20:47] "OPTIONS /api/schedules/validate HTTP/1.1" 204 -
